model,ticker,x,y,r
v02a,AXP,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag11,0.8156492967602659
v02a,AXP,roll_sd_ret1d_147d,roll_sd_intraday_61d,0.8152583888315333
v02a,AAPL,roll_sd_ret1d_61d,roll_sd_intraday_61d,0.8151181912948413
v02a,CVX,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.81510438114651
v02a,SBUX,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.8150380669406082
v02a,FDX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.8146593666716424
v02a,CVX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8146543725615728
v02a,SBUX,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.8140018605868947
v02a,AAPL,roll_sd_ret21d_251d,roll_sd_intraday_251d,0.8137135828427444
v02a,SBUX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.8135096774734236
v02a,SBUX,atr17_open,roll_sd_intraday_61d,0.8134532600296983
v02a,AXP,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.8128978912551419
v02a,SBUX,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.8124692389865041
v02a,FDX,roll_sd_ret5d_147d_lag5,roll_sd_ret21d_251d_lag19,0.8118096406681986
v02a,CVX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.8114997050531109
v02a,AAPL,atr17_open,roll_sd_intraday_61d,0.8114627949036287
v02a,AAPL,atr11_open,roll_sd_ret1d_61d,0.811353902825457
v02a,AAPL,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.8109715069127194
v02a,HAL,atr11_open,roll_sd_ret1d_61d,0.8108303404458551
v02a,HAL,atr11_open,roll_sd_intraday_61d,0.8095662201870478
v02a,FDX,atr11_open,roll_sd_intraday_61d,0.808283674380812
v02a,FDX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag7,0.8081973304238503
v02a,HAL,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag5,0.8078977266623161
v02a,AAPL,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.8073165402483565
v02a,AAPL,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.8071823939614247
v02a,FDX,roll_mean_ret5d_61d,ma_cross_l,0.8070818808118223
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8069137662302894
v02a,SBUX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag7,0.8055426894111603
v02a,FDX,roll_sd_ret1d_147d,roll_sd_ret21d_251d,0.8052958935903517
v02a,FDX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.8050057509323598
v02a,AXP,atr17_open,roll_sd_ret1d_147d,0.8045429887140364
v02a,SBUX,roll_mean_ret1d_61d,ma_cross_l,0.8039348540586857
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.8020139753954613
v02a,SBUX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.801981749599028
v02a,AXP,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.7997623207062385
v02a,AXP,roll_sd_ret1d_61d,roll_sd_intraday_251d,0.7994217225016759
v02a,FDX,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag11,0.7992224052555738
v02a,SBUX,roll_sd_intraday_251d,roll_sd_ret21d_251d_lag19,0.798691726035876
v02a,CVX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.797553893739972
v02a,HAL,roll_sd_ret5d_147d_lag11,roll_sd_intraday_251d,0.7970640590773369
v02a,AMD,roll_sd_ret1d_147d,roll_sd_intraday_251d,0.7962345189636217
v02a,FDX,roll_sd_ret5d_147d,roll_sd_ret21d_251d_lag19,0.7933138969489495
v02a,SBUX,atr11_open,roll_sd_intraday_61d,0.792227842885477
v02a,HAL,roll_sd_ret5d_147d_lag5,roll_sd_intraday_251d,0.7916138467298571
v02a,SBUX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag19,0.7912867057445788
v02a,AMD,roll_sd_ret1d_61d,roll_sd_ret1d_147d,0.7896778532309958
v02a,SBUX,roll_mean_ret5d_147d,ma_cross_l,0.7887563863555781
v02a,AAPL,roll_mean_ret1d_61d,ma_cross_l,0.7877192105098413
v02a,CVX,roll_sd_ret1d_147d,roll_sd_ret21d_251d_lag7,0.7867405389236912
v02a,AAPL,atr11_open,roll_sd_intraday_61d,0.7861577387920947
v02a,CVX,roll_sd_ret1d_61d,roll_sd_ret5d_147d,0.7860543858095138
v02a,AMD,roll_mean_ret1d_61d,ma_cross_l,0.7845546630695845
v02a,SBUX,roll_sd_ret1d_61d,roll_sd_ret5d_147d_lag11,0.7843930547632175
v02a,HAL,roll_sd_ret5d_147d,roll_sd_intraday_251d,0.7825128109641877
